aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu
90572283,1994,3.588,112,1,0.744,0.94,0.936
90572285,1992,2.588,83,1,0.744,0.94,0.936
90572303,1994,4,102,1,0.814,0.829,0.84
90572323,1991,3,77,1,0.589,0.887,0.836
90572325,1995,0.923,87,1,0.862,0.915,0.831
90572341,1991,0.909,85,1,0.917,0.884,0.843
90572369,1992,3.143,99,1,0.626,0.935,0.84
90572383,1992,2.714,104,1,0.699,0.949,0.921
90572384,1993,3.071,112,1,0.462,0.922,0.822
90572389,1995,2.941,78,1,0.699,0.949,0.921
90572393,1992,3.214,106,1,0.921,0.938,0.836
90572469,1996,3.714,104,1,0.593,0.944,0.954
90572862,1993,1.889,83,0,0.995,0.986,0.871
90572900,1993,3.929,116,1,0.91,0.941,0.848
90572909,1993,2.688,108,1,0.946,0.919,0.764
90572925,1995,0.929,81,0,0.589,0.887,0.836
90572974,1992,3.273,96,1,0.529,0.949,0.781
90572983,1991,2.933,107,1,0.919,0.952,0.919
90572984,1992,3.267,110,1,0.744,0.94,0.936
90572986,1994,2.071,102,1,0.744,0.94,0.936
90572991,1992,2.714,79,0,0.921,0.938,0.836
90572998,1992,2.929,83,1,0.852,0.937,0.836
90573011,1992,1.571,102,1,0.703,0.92,0.843
90573194,1991,3.786,102,1,0.787,0.91,0.861
90573212,1995,1.75,91,1,0.732,0.912,0.905
90573491,1993,1.714,85,1,0.751,0.943,0.69
90573618,1995,2.333,104,1,0.935,0.931,0.856
90573897,1992,2.667,82,1,0.553,0.888,0.745
90573940,1996,3.167,118,1,0.905,0.955,0.927
90573954,1995,2.824,108,1,0.934,0.948,0.79
90573956,1996,2.857,104,1,0.781,0.918,0.822
90573959,1992,3.357,108,1,0.934,0.948,0.79
90573992,1993,2.929,104,1,0.783,0.938,0.705
90574133,1994,2.294,111,0,0.934,0.895,0.782
90574197,1994,1.727,106,1,0.791,0.854,0.77
90574204,1994,1.909,91,1,0.724,0.967,0.828
