aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu,avg_peer_gpa
92500081,1992,1.143,110,1,0.992,0.917,0.759,2.59497996918336
92500184,1992,2.429,75,1,0.944,0.876,0.81,2.59299845916795
92500219,1992,1.813,110,0,0.849,0.901,0.879,2.59394761171032
92500386,1992,3.714,100,1,0.986,0.934,0.689,2.59101848998459
92500618,1992,3.167,104,1,0.868,0.927,0.429,2.59186132511556
92501253,1992,4,112,1,0.77,0.953,0.827,2.59057781201849
92503208,1992,2.636,87,1,0.906,0.897,0.736,2.59267950693374
92504085,1992,3.25,111,1,0.813,0.927,0.86,2.59173343605547
92504421,1992,3.786,110,1,0.855,0.847,0.773,2.59090755007704
92504722,1992,3.071,119,1,0.793,0.924,0.809,2.5920092449923
92504827,1992,3.429,111,1,0.888,0.923,0.849,2.59145762711864
92506687,1992,2.333,122,1,0.907,0.927,0.806,2.59314637904468
92508625,1992,2.417,108,1,0.926,0.926,0.909,2.59301694915254
92508726,1992,3.417,112,1,0.913,0.885,0.908,2.59147611710324
92540559,1992,1.636,96,0,0.915,0.946,0.786,2.59422033898305
92543208,1992,1.833,89,1,0.807,0.929,0.812,2.59391679506934
92544906,1992,3.714,94,1,0.584,0.93,0.953,2.59101848998459
92546073,1992,1.417,104,1,0.993,0.89,0.799,2.59455778120185
92570084,1992,3.143,85,1,0.969,0.892,0.802,2.59189830508475
92570188,1992,1.429,91,0,0.986,0.927,0.736,2.59453929121726
92570236,1992,2.333,118,1,0.757,0.825,0.896,2.59314637904468
92571019,1992,2.625,110,1,0.688,0.934,0.9,2.59269645608629
92571052,1992,1.833,110,1,0.863,0.936,0.808,2.59391679506934
92571311,1992,3.857,116,1,0.875,0.858,0.903,2.59079815100154
92572061,1992,2.5,103,0,0.665,0.931,0.921,2.59288906009245
92572108,1992,3.786,107,1,0.814,0.829,0.84,2.59090755007704
92572119,1992,3.692,111,1,0.814,0.934,0.775,2.59105238828968
92572217,1992,2.917,107,1,0.746,0.868,0.801,2.59224653312789
92572283,1992,3.6,107,1,0.919,0.952,0.919,2.59119414483821
92572292,1992,2,93,1,0.994,0.908,0.935,2.5936594761171
92572408,1992,2.429,102,1,0.591,0.874,0.864,2.59299845916795
92572842,1992,1.846,89,1,0.685,0.91,0.811,2.5938967642527
92572906,1992,2.588,106,1,0.809,0.91,0.779,2.59275346687211
92572918,1992,2.083,85,1,0.777,0.958,0.79,2.59353158705701
92572924,1992,1.857,87,1,0.589,0.887,0.836,2.59387981510015
92574314,1992,2.857,99,1,0.972,0.925,0.861,2.59233898305085
92574808,1992,2.167,108,1,0.705,0.914,0.852,2.59340215716487
92575023,1992,2.231,90,1,0.663,0.928,0.893,2.59330354391371
92575095,1992,2.417,111,1,0.904,0.903,0.878,2.59301694915254
92575121,1992,1.857,81,1,0.563,0.921,0.895,2.59387981510015
92575222,1992,2.692,94,1,0.663,0.928,0.893,2.59259322033898
92575381,1992,2.167,87,1,0.583,0.857,0.838,2.59340215716487
92575941,1992,3.75,120,1,0.531,0.882,0.931,2.59096302003082
92575990,1992,2,89,1,0.978,0.914,0.698,2.5936594761171
92576312,1992,3.333,93,0,0.963,0.943,0.805,2.59160554699538
92576611,1992,3.143,110,1,0.964,0.942,0.769,2.59189830508475
92576693,1992,2.917,116,1,0.706,0.925,0.937,2.59224653312789
92576694,1992,3.75,106,1,0.872,0.926,0.93,2.59096302003082
92577129,1992,2.857,116,1,0.641,0.965,0.942,2.59233898305085
92577918,1992,3.25,104,1,0.836,0.969,0.893,2.59173343605547
92578411,1992,2,108,0,0.855,0.936,0.904,2.5936594761171
92578580,1992,1.143,66,0,0.697,0.706,0.728,2.59497996918336
